"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
3.981625100E-2,4.581354442E-4,-7.635590737E-4,5.344913341E-3,5.418579996E-3
4.211932300E-2,2.901524538E-3,-2.137965523E-3,4.123218823E-3,5.476374228E-3
4.442239600E-2,1.679830020E-3,3.054236295E-4,2.901524538E-3,3.366594293E-3
4.672546900E-2,1.679830020E-3,-9.162708884E-4,2.901524538E-3,3.475661935E-3
4.902854200E-2,1.679830020E-3,-2.137965523E-3,4.123218823E-3,4.938993717E-3
5.133161500E-2,2.901524538E-3,1.527118147E-3,3.054236295E-3,4.480992505E-3
5.363468800E-2,2.901524538E-3,-9.162708884E-4,4.123218823E-3,5.124385861E-3
5.593776100E-2,1.679830020E-3,-9.162708884E-4,5.344913341E-3,5.677101361E-3
5.824083400E-2,-7.635590737E-4,-1.985253533E-3,5.344913341E-3,5.752595299E-3
6.054390700E-2,1.679830020E-3,-3.206948051E-3,5.344913341E-3,6.455574593E-3
6.284698000E-2,2.901524538E-3,-2.137965523E-3,2.901524538E-3,4.626941308E-3
6.515005300E-2,4.581354442E-4,-3.359660041E-3,1.679830020E-3,3.784049758E-3
6.745312600E-2,2.901524538E-3,-4.581354558E-3,1.679830020E-3,5.677101649E-3
6.975619800E-2,1.679830020E-3,-3.359660041E-3,2.901524538E-3,4.746365887E-3
7.205927100E-2,4.123218823E-3,-9.162708884E-4,3.054236295E-3,5.212374233E-3
7.436234400E-2,1.679830020E-3,-9.162708884E-4,4.581354442E-4,1.967554147E-3
7.666541700E-2,1.679830020E-3,-2.137965523E-3,1.679830020E-3,3.196021647E-3
7.896849000E-2,1.679830020E-3,-3.359660041E-3,1.679830020E-3,4.114726404E-3
8.127156300E-2,1.679830020E-3,-4.581354558E-3,1.679830020E-3,5.160665401E-3
8.357463600E-2,4.581354442E-4,-4.428642802E-3,2.901524538E-3,5.314283564E-3
8.587770900E-2,2.901524538E-3,-3.359660041E-3,1.679830020E-3,4.746365887E-3
8.818078200E-2,2.901524538E-3,-9.162708884E-4,2.901524538E-3,4.204431190E-3
9.048385500E-2,4.123218823E-3,-3.359660041E-3,2.901524538E-3,6.058637941E-3
9.278692800E-2,5.344913341E-3,-9.162708884E-4,4.275931045E-3,6.905884250E-3
9.509000100E-2,5.344913341E-3,1.527118147E-3,4.275931045E-3,7.013114484E-3
9.739307300E-2,5.344913341E-3,1.527118147E-3,4.275931045E-3,7.013114484E-3
